,RequiredQual,Eligibility,Title,JobDescription,JobRequirment
4,"University degree; economical background is a plus; Excellent knowledge of Windows 2000 Server, Networking TCP/ IP technologies, MS SQL 2000 Server, Visual Basic 6; At least 2 years of experience in database software development; Good knowledge of English. REMUNERATION:  Will be commensurate with the norms accepted in the Company.",,Software Developer,,"- Rendering technical assistance to Database Management Systems;
- Realization of SQL servers maintenance activities: back-up and
replication;
- Participation in designing of software development projects."
19,"As a GD you are creative, innovative and have a great capacity to implement your stylish ideas, open to new trends and fine arts. Extensive knowledge of graphic design and marketing communications tools is required as well as thorough knowledge of Adobe Photoshop and Adobe Illustrator and at least 2 years experience working in web and publishing; Enough knowledge of Macromedia Freehand, Fireworks and Dreamweaver and familiarity with complex web developments, G.U.I. standards, web editors, animations in 3D is a plus. You are reliable, responsible and have excellent communications skills.  PREFERRED QUALIFICATIONS:  English Essential verbal/ written / understanding; Experience as Graphic Designer in a creative environment is an asset; Organized, methodical, ""out of the box"" thinker and goal-oriented; Willing to learn new skills.",,Graphic Designer,"The position of Graphic Designer (GD) demands a
proven, successful experience in the field of ""new media"". The design
and communication concepts that you have created since completing your
studies are proving to be popular.","Graphic Designer will be responsible for every
graphical development of our software and websites; from general user
interface to product packaging including user guide documentation; will
assist the marketing and communication team to develop the corporate
material for the group and its subsidiaries; will also create marketing
presentations for both in-house and client projects."
35,Work experience of at least two years;  Knowledge of Visual Studio .NET. REMUNERATION:  Depends on skills and previous experience.,,Programmer,,
76,"Professional background in graphic design; Strong knowledge and experience in Corel Draw, Adobe Photoshop, Adobe Illustrator, Adobe PageMaker, etc.; Strong understanding of composition, color matching, separates on different output devices.",,Graphic Designer,"Ameria CJSC is seeking qualified candidates for the
position of an in-house Graphic Designer for a company specializing in
production of sweets and pastries.","- Design of company production packaging;
- Preparation and design of promotional and related electronic/ print
materials;
- Design and development of advertisement/ promotional tools."
92,"Degree in Computer Science, Information Technology or related discipline (Bachelor's Degree in the relevant field required, Master's Degree preferred);  At least 3 years of successful experience in software development; Extensive development experience with current industry technologies including Java, SQL, etc. and related tools; Working experience with and design of complex database systems (stored procedures); Experience in J2EE development (JSP/ Servlets); Knowledge of one of programming languages (C++/Visual C++; VB); Knowledge of HTML/XML, ASP/PHP. Additional Characteristics: Ability to work under pressure and in multi-task environment;  Ability to work in a team while being self-directed and highly motivated;   Excellent analytical and problem-solving skills and attention to detail; Excellent interpersonal and organizational skills; Fluency in English.",,Software Developer,"Synergy International Systems, Inc./Armenia seeks to
fill the long-term position of Software Developer. The responsibilities
of this position are focused on core software development tasks in
Synergy International Systems, Inc. Synergy's main focus is on
developing integrated state-of-the-art Web Database and Web Portal
systems for business intelligence, knowledge management and e-Government
solutions. 
This position will be filled by a software developer with a proven
history of producing quality software product in a commercial setting.
Experience in a dynamic workplace with solid software developing
practice is required. Ideally, this position will be filled by a
candidate who has experience in all aspects of the software development
process; including design, implementation, testing and delivery.","Specific tasks and key responsibilities include
but are not limited to the following:
- Translate design requirements and specifications into robust
implementations;
- Design, proto-type, develop and manage the technical aspects of the
software;
- Perform implementations in a timely fashion;
- Perform quality assurance tasks, such as testing of the software
products."
239,"knowledge of Java, Jsp/Servlets.",,Programmer,"A qualified programmer is needed in order to
participate in projects.",
240,"Good knowledge of Microsoft Visual Studio.Net with experience not less than one year;  Knowledge of  XML, HTML, ADO",,Programmer,"A qualified programmer is needed in order to
participate in projects.",
245,"B.S in software engineering Minimum 2 years programming experience  Windows and Unix operating systems MS SQL Server, Oracle databases Visual Studio.Net ( Visual C++ and Visual Basic ) Knowledge of English language Preferred Qualification:          POS programming experience Smart cards programming experience  Knowledge of EMV",,Programmer,"Design and implementation of various banking
applications.",
275,"The successful candidate should meet the following requirements: Excellent proficiency in graphic programs (Corel Draw, Photoshop .). Work experience in design of information materials.  Experience in preparation of final version of done works for printing in printing houses.  Provide with the samples of work done (portfolio): including Leaflets, Posters, Logos & other graphic works Provide the sketch of your idea in accordance with the project specifics (Trafficking in humans).",,Graphic Designer,"UMCOR Armenia seeks professionals to design
information materials (posters, leaflets) for awareness raising campaign
conducted by UMCOR in the framework of Counter-Trafficking project.",
303,"Degree in Computer Science, Information Technology or related discipline (Bachelor's Degree in the relevant field required, Master's Degree preferred);  At least 3 years of successful experience in software development; Extensive development experience with current industry technologies including Java, SQL, etc. and related tools. Working experience with and design of complex database systems (stored procedures); Experience in J2EE development (JSP/Servlets); Knowledge of one of programming languages (C++/Visual C++; VB); Knowledge of HTML/XML, ASP/PHP. Additional Characteristics: Ability to work under pressure and in multi-task environment;  Ability to work in a team while being self-directed and highly motivated;  Excellent analytical and problem-solving skills and attention to detail; Excellent interpersonal and organizational skills; Fluency in English.",,Software Developer,"The responsibilities of this position are focused on
core software development tasks in Synergy International Systems, Inc.
Synergy's main focus is on developing integrated Web Database and Web
Portal systems. 
This position will be filled by a software developer with a proven
history of producing quality software product in a commercial setting.
Experience in a dynamic workplace with solid software developing
practice is required. Ideally, this position will be filled by a
candidate who has experience in all aspects of the software development
process; including design, implementation, testing and delivery.","Specific tasks and key responsibilities include
but are not limited to:
- Translate design requirements and specifications into robust
implementations;
- Design, proto-type, develop and manage the technical aspects of the
software;
- Perform implementations in a timely fashion;
- Perform quality assurance tasks, such as testing of the software
products."
318,"Languages: C/C++, JAVA, C-Sharp, Visual Basic programming skills required. Microsoft.net technology knowledge and experience preferred. Experience in Business Programming. English language medium level knowledge important.",,Programmer,"Company needs Senior Programmers experienced in the
mentioned programming languages.",
321,"Excellent proficiency in ASP, C#, ASP.NET, Java Script. Relevant work experience of minimum 1 year.",,Programmer,"Boomerang Software LLC is currently seeking qualified
candidates for a Programmer position. 
The successful candidate should meet the following criteria:",
366,"The successful candidate should meet the following eligibility criteria:  Excellent proficiency in ASP, ASP.NET, C++, C#, Java Script, MS SQL  Relevant work experience of minimum 1 year.",,Programmer,"Boomerang Software LLC is currently seeking qualified
candidates for a Programmer position.",
399,"The successful candidates should meet the following eligibility criteria:  Excellent proficiency in ASP, ASP.NET, C++, C#, Java Script, MS SQL  Relevant work experience of minimum 1 year.",,Programmer,"We currently look for committed individuals to fill
the vacancies of programmers.",
476,"Applicants should have exposure to and previous experience with: programming languages: C, Perl (or Ruby, Python), and Java (or C#)  data processing technologies: XML, relational databases. We are particularly interested in candidates with experience in Oracle, DBMS application programming, J2EE architecture and applications development, and .NET Framework-based technologies.",,Software Developer,"The position assumes participation in the full
development and deployment cycle of software products and solutions
developed by the company in collaboration with RenderX, Inc.","We expect a successful candidate to be able to 
- design and develop software products,
- create programs for heterogeneous environments (MS Windows, Unix),
communicating by means of network protocols
- author and maintain internal and end-user documentation."
478,"Knowledge of  C#, ASPX,  work experience not less than 3 years.",,Software Engineer,"CIT ltd is currently seeking for qualified candidates
for software engineer position to participate in projects.",
496,"Must have Bachelors degree or higher Must have experience in XML, XSL, HTML, DHTML, Photoshop, Corel,Flash, JavaScript, CSS, SQL, PHP/My SQL, Perl, Macromedia Dreamweaver Must have Experience in Apache 1.3 or higher Must have experience in unix/linux system administration Ability to troubleshoot problems and research service enhancements. Must have excellent communications, problem solving/ trouble shooting Must be a self starter, takes initiative, highly motivated Quick to learn new technologies Ability to read technical documentation on English Ability to write administrative reports on English",,Web Developer,"Project Harmony, an innovate, non-profit organization
that builds strong communities by fostering civic leadership, harnessing
internet technology, and facilitating cross-cultural experiential
learning, is currently accepting applications for positions within the
Armenia School Connectivity Programs, a high profile secondary school
technology in education programs of the US Department of State, Bureau
of Educational and Cultural Affairs and the ZANG Armenian Legal
Socialization Project, a unique project that brings together educators
and law enforcement officials to create lessons in legal socialization
that will be piloted in the secondary schools throughout Armenia.","WEB sites creation, programming, organization and
maintenance.
PHP/MySQL Data base creation, programming and maintenance, School's WEB
sites administration and consultations.
Interactive on-line space creation, administration and maintenance, WEB
training and Consultation."
563,Proven knowledge and minimum 1 year of experience in .NET & C#.,,Web Developer,"SADA Systems in Armenia is looking for specialists for
for a Web Developer to work on a dynamic, high profile project to
deliver the latest Microsoft technology: ASP.NET, ADO.NET, C# and SQL
Server 2000.",
566,Relevant university degree Yerevan State University or State Engineering University of Armenia. Good skills in both English and Armenian languages;  Good knowledge of computers; Excellent communication skills; Team worker; Previous experience is necessary.,,Java Developer,Creating and developing software products for Network.,"- Excellent knowledge of Object Oriented programming and design.
- Excellent knowledge of Java (JSP, Servlet, Swing, JDBC, RMI).
- 4+ years programming experience.
- Good knowledge of HTML, JavaScript, PHP, XML.
- Relational Databases (Oracle, SQL and MySQL) experience is preferable."
579,"Strong knowledge of PHP, MySQL, HTML, Javascript, XML/XSL. Knowledge of data structures, algorithms and database concepts is a plus.  Perl programming language knowledge is desirable.  Minimum 2 years experience in relevant field  Good knowledge of English Team oriented, organized, initiative  Willing to learn new skills Positive attitude",,Web Developer,"Xalt LLC is seeking for a motivated and experienced
Web Developer who will develop new and support existing websites created
by the company, evaluate solutions, create detailed system requirement
specifications as well as system design and functional specifications.","- Scripting, web programming, HTML coding 
- Designing website functionality
- Writing high quality code based on implementation specification
- Effective programming in UNIX/Linux environment
- Participating in web applications design and development and updating
the existing websites"
604,"Bachelor or master degree in Computer Science, Applied Mathematics, or a related discipline. High GPA is an advantage. Working knowledge of Visual Basic and C is an advantage. Previous programming experience is an advantage, but not mandatory. Fresh graduates are encouraged to apply. Willingness and ability to work in a team. Very good knowledge of English language. Familiarity with accounting, inventory or other ERP applications an advantage.",,Programmer,,"- Develop applications using Microsoft Visual Basic and C;
- Conduct on-going testing of own developed modules."
624,"Minimum 2 years experience in relevant field;  Good knowledge of English; Team oriented, organized, initiative;  Willing to learn new skills; Positive attitude.",,Web Developer,"Xalt LLC is seeking for a motivated and experienced
Web Developer who will develop new and support existing websites created
by the company, evaluate solutions, create detailed system requirement
specifications as well as system design and functional specifications.","The successful candidate is required to have
strong knowledge of PHP, MySQL, HTML, Javascript, XML/XSL. Knowledge of
data structures, algorithms and database concepts is a plus. Perl
programming language knowledge is desirable. 
- Scripting, web programming, HTML coding; 
- Designing website functionality;
- Writing high quality code based on implementation specification;
- Effective programming in UNIX/Linux environment;
- Participating in web applications design and development and updating
the existing websites."
641,"Expert knowledge of PHP, Database (MySQL), HTML, DHTML, Java Script Some knowledge of Macromedia Flash including Active Script Hands-on experience with web-design tools such as Dreamweaver, Home Site Experience with Photoshop, ImageReady is an advantage Must be self-directed and have a track record of meeting project deadlines  At least 2 years experience in web programming",,Web Developer,"- Creating innovative web sites using HTML, DHTML, JavaScript, Flash
(Action Script) and PHP (MySQL) for a diverse client pool 
- Developing Flash-based presentation packages",
673,"Knowledge of Java-2, J2EE, EJB, JDBC, JST/Servlet, HTML, XML, Appl.Servers; from Data BaseSQL, SPL, Triggers,  RDBMS. Knowledge of borland and JBuilder tools is preferable.",Everybody,Programmer,Realizing programming strategy of the company.,"- Writing high quality code, scripting, web programming HTML coding. 
- Maintenance of web-site on a high level, providing necessary
professional advice advice."
690,"Minimum 2 years experience in relevant field; Good knowledge of English; Team oriented, organized, initiative; Willing to learn new skills; Positive attitude.",,Web Developer,"Xalt LLC is seeking for a motivated and experienced
Web Developer who will develop new and support existing websites 
created by the company, evaluate solutions, create detailed system 
requirement specifications as well as system design and functional
specifications.","- The successful candidate is required to have strong knowledge of PHP,
MySQL, HTML, Javascript, XML/XSL. Knowledge of data structures,
algorithms and database concepts is a plus. Perl programming language
knowledge is desirable;
- Scripting, web programming, HTML coding;
- Designing website functionality;
- Writing high quality code based on implementation    specification;
- Effective programming in UNIX/Linux environment;
- Participating in web applications design and   development and
updating the existing websites."
